Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
20-02-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
10-03-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
10-03-2018,11:29,Leiden Centraal,11:30,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
11-03-2018,18:54,Leiden Centraal,18:55,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
06-04-2018,09:17,Leiden Centraal,10:00,Amsterdam Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
06-04-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
06-04-2018,11:57,Amsterdam Centraal,12:41,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
08-04-2018,07:34,Leiden Centraal,08:22,Rotterdam Centraal,"€4,40","€0,00",Reis,2,Dal Voordeel,,
08-04-2018,14:25,Rotterdam Centraal,15:18,Leiden Centraal,"€4,40","€0,00",Reis,2,Dal Voordeel,,
19-04-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
19-04-2018,11:55,Leiden Centraal,12:59,Amsterdam Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
19-04-2018,15:12,Amsterdam Centraal,15:56,Leiden Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
20-04-2018,17:52,Leiden Centraal,18:14,Den Haag Centraal,"€3,50","€0,00",Reis,2,Dal Voordeel,,
20-04-2018,,,,,"€0,00","€25,00",Saldo opladen,,,,
20-04-2018,22:11,Den Haag Centraal,22:40,Leiden Centraal,"€2,10","€0,00",Reis,2,Dal Voordeel,,
21-04-2018,10:26,Leiden Centraal,10:47,Voorhout,"€1,40","€0,00",Reis,2,Dal Voordeel,,
21-04-2018,14:52,Voorhout,15:23,Leiden Centraal,"€1,40","€0,00",Reis,2,Dal Voordeel,,
15-05-2018,11:16,Leiden Centraal,11:45,Schiphol Airport,"€3,50","€0,00",Reis,2,Dal Voordeel,,
15-05-2018,12:01,Schiphol Airport,12:29,Leiden Centraal,"€3,00","€0,00",Reis,2,Dal Voordeel,,
25-05-2018,14:50,Leiden Centraal,15:15,Schiphol Airport,"€3,50","€0,00",Reis,2,Dal Voordeel,,
27-05-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
27-05-2018,21:40,Schiphol Airport,21:58,Leiden Centraal,"€3,50","€0,00",Reis,2,Dal Voordeel,,
08-06-2018,09:34,Leiden Centraal,09:35,Leiden Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
30-06-2018,,,,,"€0,00","€20,00",Saldo opladen,,,,
30-06-2018,14:19,Leiden Centraal,15:06,Amsterdam Centraal,"€5,50","€0,00",Reis,2,Dal Voordeel,,
30-06-2018,17:48,Amsterdam Centraal,17:50,Amsterdam Centraal,"€0,00","€0,00",Reis,2,Dal Voordeel,,
30-06-2018,17:52,Amsterdam Centraal,18:53,Schiphol Airport,"€2,60","€0,00",Reis,2,Dal Voordeel,,
30-06-2018,19:50,Schiphol Airport,19:53,Schiphol Airport,"€0,00","€0,00",Reis,2,Dal Voordeel,,
30-06-2018,20:05,Schiphol Airport,22:11,Leiden Centraal,"€3,50","€0,00",Reis,2,Dal Voordeel,,
04-07-2018,16:42,Leiden Centraal,17:26,Amsterdam Sloterdijk,"€8,50","€0,00",Reis,2,Dal Voordeel,,
